ProductID,ProductName,Latest_Hotness,Peak_Hotness,Avg_Hotness,Latest_Trend,Peak_Search,Peak_Views,Demand_Score,Destination,HotelType Short,Region,Agoda Status,Ctrip Status,Revenue,B2B2C RN,Revenue Score,RN Score,Mapping Score,Business Score,Opportunity Score,Agoda Score,Ctrip Score,Revenue Score v2,RN Score v2,Mapping Score v2,Business Score v2,Opportunity Score v2,Opportunity Index,Commercial Rank,Priority,Action,Reason,Workflow Status,Owner,SLA,Business Impact
5101942.0,The Six Resort Lopburi,0.455308246512814,0.455308246512814,0.42333186891509056,0.5098992878320336,16.0,19.0,32.06,Lop Buri,LT,Lower Isan - Central,Not mapped,Null,23139.0,4.0,0.3573679449,0.1347254968,0.0,0.22,10.185,0.0,0.0,0.36,0.13,0,6.63,6.63,28.03,85,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
64959.0,Ma Chic & Cozy,0.4038858242606204,0.4219671926832879,0.40561779398484865,0.5056200908742995,21.0,18.0,30.84,Lampang,KA,North,Mapped,Mapped,992402.0,1345.0,15.32686221,45.3014483,100.0,41.25,20.625,100.0,100.0,15.33,45.3,100,27.42,0.0,28.02,86,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
347.0,Trinity Silom Hotel,0.4228678612943042,0.530728545670482,0.46844949159708216,0.4966254260172286,60.0,69.0,40.45,Bangkok,KA,BKK - Metro - Chon,Mapped,Mapped,888102.0,678.0,13.71603692,22.83597171,100.0,33.71,16.855,100.0,100.0,13.72,22.84,100,21.8,0.0,28.0,87,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
64950.0,The Bliss Hotel Ubon,0.3581591899553739,0.3718385335757089,0.35091142692537275,0.4956872427657008,56.0,14.0,35.35,Ubon Ratchathani,KA,Lower Isan - Central,Mapped,Mapped,2285589.0,9.0,35.29911974,0.3031323678,100.0,37.74,18.87,100.0,100.0,35.3,0.3,100,24.81,0.0,27.97,88,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4883835.0,Blu Monkey Hub & Hotel Ranong,0.420219841686299,0.5064862820605367,0.44183701828518973,0.4987520276546373,57.0,48.0,39.16,Ranong,KA,Upper South,Mapped,Mapped,948684.0,716.0,14.65167554,24.11586393,100.0,34.56,17.28,100.0,100.0,14.65,24.12,100,22.39,0.0,27.93,89,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
181551.0,Charisma Residence,0.3882603885380201,0.5007108852140225,0.41909704053385427,0.497414555342037,53.0,38.0,36.77,Rayong,KA,Upper Isan - East,Mapped,Mapped,1097266.0,756.0,16.94640652,25.4631189,100.0,36.11,18.055,100.0,100.0,16.95,25.46,100,23.47,0.0,27.74,90,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
317.0,Avana Hotel and Convention Center,0.3704745945196964,0.5349083178944574,0.4444213068489023,0.4066783512405236,55.0,634.0,53.43,Bangkok,KA,BKK - Metro - Chon,Mapped,Mapped,388879.0,148.0,6.005935881,4.984843382,100.0,24.5,12.25,100.0,100.0,6.01,4.98,100,15.18,0.0,27.69,91,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
2000265.0,The Journey Hotel Bangna,0.4455489501251363,0.4611007764291331,0.44082068682770875,0.5039585566098593,56.0,43.0,39.92,Samut Prakan,KA,BKK - Metro - Chon,Mapped,Mapped,941326.0,599.0,14.53803209,20.17514315,100.0,33.32,16.66,100.0,100.0,14.54,20.18,100,21.31,0.0,27.67,92,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
5049469.0,Baan Pak Ruean Pathom2,0.2516817556991746,0.3495426828977108,0.2755566768670017,0.5033635113735995,10.0,14.0,22.48,Nakhon Pathom,KA,BKK - Metro - Chon,Not mapped,Null,916133.0,22.0,14.14894899,0.7409902324,0.0,7.3,15.42,0.0,0.0,14.15,0.74,0,11.79,11.79,27.67,93,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4848992.0,Xotel,0.3728974643771277,0.5013694417297789,0.4042076720377224,0.5026156205043659,43.0,81.0,35.71,Khon Kaen,KA,Upper Isan - East,Mapped,Mapped,1526473.0,482.0,23.57517797,16.23442236,100.0,36.66,18.33,100.0,100.0,23.58,16.23,100,23.8,0.0,27.64,94,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
