ProductID,Current_Hotness,Peak_Hotness,Avg_Hotness,Current_Trend,Current_Views,Peak_CheckIn_Views,Latest_Snapshot,ProductName,Active_View_Intervals,Modification_Count,Last_Modified_At,Peak_CheckIn_Date,Demand_Score,Destination,HotelType Short,Region,Agoda Status,Ctrip Status,Revenue,B2B2C RN,Destination_Search_Context,Funnel_Views,Funnel_Bookings,Internal_Worst_Gap,Internal_Median_Gap,Internal_Comparable_Rates,Internal_Total_Rates,Agoda_Price_Disadvantage,Agoda_Comparable_Dates,Views_per_Search,Search_to_Booking,Revenue Score,RN Score,Agoda Score,Ctrip Score,Mapping Score,Business Score,Opportunity Index,Commercial Rank,Priority,Action,Reason
4920836,0.36519421976164124,0.38609002582134216,0.36519421976164124,0.519103194365398,366.0,103.0,2026-08-18 23:48:42,SR Grand Hotel Chiang Mai,188,20,2026-08-18 23:19:38,2026-08-18,34.4,Chiang Mai,KA,North,Mapped,Mapped,3970711.0,144.0,2123.0,366.0,0.0,,,0.0,30.0,,0,0.1723975506358926,0.0,61.32,4.85,100,100,100.0,39.0,35.01,11,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
4854509,0.3843403480636857,0.4966601617933524,0.3843403480636857,0.5101458252606059,4549.0,1150.0,2026-08-18 23:48:42,Heaven Hotel Chachoengsao,167,9,2026-08-18 20:17:46,2026-08-19,36.48,Chachoengsao,KA,Upper Isan - East,Mapped,Mapped,2233630.0,1309.0,1533.0,4549.0,0.0,0.1870978258380141,0.1870978258380141,1.0,41.0,,0,2.9673842139595563,0.0,34.5,44.09,100,100,100.0,37.77,34.93,12,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
4611,0.37161062364987035,0.431780457446909,0.37161062364987035,0.5102053522558245,2587.0,535.0,2026-08-18 23:48:42,PLAAI Prime Hotel Rayong,259,12,2026-08-18 23:32:45,2026-09-07,39.29,Rayong,KA,Upper Isan - East,Mapped,Mapped,2089116.0,1140.0,2408.0,2587.0,0.0,-0.0546825649558393,-0.0425291043105506,2.0,9.0,0.125,1,1.0743355481727574,0.0,32.26,38.4,100,100,100.0,35.51,34.64,13,Critical,Fix Internal Rate Parity,Our rate is more expensive than a comparable partner rate.
63574,0.4237002143336643,0.4924981942946332,0.4237002143336643,0.5115752971046568,8469.0,2438.0,2026-08-18 23:32:45,The Nest Hotel Phichit,172,27,2026-08-18 23:32:45,2026-08-19,40.68,Phichit,KA,North,Mapped,Mapped,1899371.0,1005.0,569.5,8469.0,1.0,,,0.0,12.0,,0,14.870939420544337,0.0001180776951233912,29.33,33.85,100,100,100.0,32.96,33.8,14,Critical,Monitor,No immediate distribution issue requires action.
4918110,0.3802243278586581,0.43318228532554615,0.3802243278586581,0.504455472305819,18441.0,7155.0,2026-08-18 23:48:42,101 Hotel Roi Et,98,12,2026-08-18 18:49:55,2026-08-22,41.17,Roi Et,KA,Lower Isan - Central,Mapped,Mapped,2267603.0,660.0,639.0,18441.0,0.0,,,0.0,20.0,,0,28.859154929577464,0.0,35.02,22.23,100,100,100.0,32.41,33.6,15,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
4883872,0.37697692729744114,0.43977054322438314,0.37697692729744114,0.5101939121866964,1746.0,762.0,2026-08-18 23:19:38,The Chess hotel,126,11,2026-08-18 23:03:17,2026-08-19,32.49,Rayong,KA,Upper Isan - East,Mapped,Mapped,2064401.0,1481.0,2408.0,1746.0,4.0,0.1495429785511883,0.15276466003790076,4.0,10.0,-0.0,1,0.7250830564784053,0.002290950744558992,31.88,49.88,100,100,100.0,37.4,33.55,16,Critical,Monitor,No immediate distribution issue requires action.
65457,0.43490691382451246,0.5333373070635368,0.43490691382451246,0.5129772278107714,3341.0,920.0,2026-08-18 23:48:42,Centric Place Hotel,59,3,2026-08-18 22:17:43,2026-09-08,32.55,Bangkok,KA,BKK - Metro - Chon,Mapped,Mapped,2655035.0,975.0,3998.5,3341.0,0.0,,,0.0,6.0,,0,0.8355633362510941,0.0,41.0,32.84,100,100,100.0,36.86,33.33,17,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
182835,0.37029781970923575,0.4465683667383089,0.37029781970923575,0.5106283647138713,694.0,165.0,2026-08-18 23:48:42,Nadee 10 Resort & Hotel,71,3,2026-08-18 23:48:42,2026-09-13,28.91,Khon Kaen,KA,Upper Isan - East,Mapped,Mapped,2314119.0,1496.0,649.5,694.0,1.0,,,0.0,24.0,,0,1.0685142417244033,0.001440922190201729,35.74,50.39,100,100,100.0,38.77,33.16,18,Critical,Monitor,No immediate distribution issue requires action.
138072,0.40073120833754494,0.43575348353684085,0.40073120833754494,0.5057903324051999,1267.0,867.0,2026-08-18 22:32:31,J Park Hotel,63,13,2026-08-18 21:03:06,2026-08-19,29.99,Chonburi,KA,BKK - Metro - Chon,Mapped,Mapped,2484923.0,1270.0,2659.5,1267.0,0.0,,,0.0,27.0,,0,0.4764053393495018,0.0,38.38,42.78,100,100,100.0,38.02,33.07,19,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
63676,0.42512792501660807,0.47743432283231396,0.42512792501660807,0.5106757563613565,1568.0,419.0,2026-08-18 23:48:42,Loft Mania Boutique Hotel,77,6,2026-08-18 22:03:44,2026-08-21,31.93,Chumphon,KA,Upper South,Mapped,Mapped,1907749.0,1440.0,1195.0,1568.0,2.0,0.1771286808076757,0.1771286808076757,1.0,30.0,,0,1.312133891213389,0.0012755102040816326,29.46,48.5,100,100,100.0,35.67,32.52,20,Critical,Monitor,No immediate distribution issue requires action.
43842,0.3569472608696162,0.407196988456764,0.3569472608696162,0.5169650033714555,166.0,129.0,2026-08-18 21:03:06,Rattana View Phitsanulok,46,4,2026-08-18 18:36:06,2026-08-18,26.97,Phitsanulok,KA,North,Mapped,Mapped,3313760.0,611.0,1642.5,166.0,0.0,0.0475846848416263,0.0475846848416263,1.0,11.0,,0,0.10106544901065449,0.0,51.18,20.58,100,100,100.0,37.16,31.84,21,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
2004575,0.41571454574479677,0.4608831891882052,0.41571454574479677,0.511613455161968,7380.0,2028.0,2026-08-18 22:03:44,Ben Residence,101,16,2026-08-18 19:20:48,2026-08-20,36.23,Bangkok,KA,BKK - Metro - Chon,Mapped,Unknown,1746914.0,52.0,3998.5,7380.0,0.0,,,0.0,12.0,,0,1.8456921345504564,0.0,26.98,1.75,100,0,50.0,21.26,31.62,22,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
21378,0.40465159223512015,0.46413764445619965,0.40465159223512015,0.5106370256417254,2301.0,611.0,2026-08-18 16:35:56,Hug Nimman Hotel Chiang Mai,56,2,2026-08-18 11:50:18,2026-09-02,30.52,Chiang Mai,KA,North,Mapped,Mapped,2159600.0,1118.0,1041.0,2301.0,0.0,,,0.0,16.0,,0,2.2103746397694524,0.0,33.35,37.66,100,100,100.0,34.08,31.3,23,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
4921336,0.4572193927398546,0.4906569854217084,0.4572193927398546,0.5061081051337875,17485.0,3001.0,2026-08-18 23:48:42,Ascott Embassy Sathorn Bangkok,285,30,2026-08-18 22:48:21,2026-08-23,52.85,Bangkok,LT,BKK - Metro - Chon,Mapped,Unknown,0.0,0.0,3998.5,17485.0,0.0,,,0.0,3.0,,0,4.3728898336876325,0.0,0.0,0.0,100,0,50.0,10.57,31.2,24,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
43603,0.40604929802980966,0.44196172480837026,0.40604929802980966,0.5133385847798759,1164.0,288.0,2026-08-18 23:48:42,V-Verve Service Apartment,102,15,2026-08-18 20:17:46,2026-08-21,32.2,Chachoengsao,KA,Upper Isan - East,Mapped,Mapped,2370645.0,781.0,1533.0,1164.0,0.0,,,0.0,35.0,,0,0.7592954990215264,0.0,36.61,26.31,100,100,100.0,32.64,31.11,25,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
4849575,0.41037002057569766,0.4331710857562731,0.41037002057569766,0.5084581442910211,1443.0,377.0,2026-08-18 22:48:21,L2 Hotel,98,7,2026-08-18 13:05:37,2026-08-24,32.24,Khon Kaen,KA,Upper Isan - East,Mapped,Mapped,2651683.0,570.0,2228.5,1443.0,0.0,0.075497314606268,0.0972604822941386,3.0,26.0,,0,0.6475207538703164,0.0,40.95,19.2,100,100,100.0,32.68,31.1,26,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
4920826,0.3440525993927134,0.3646754356869097,0.3440525993927134,0.516211611957382,142.0,30.0,2026-08-18 21:31:44,"Double J Hotel Chiang Mai (Free Baked Rice with Chinese Sausage, snacks and coffee)",86,3,2026-08-18 14:05:44,2026-08-18,28.38,Chiang Mai,KA,North,Mapped,Mapped,3015557.0,540.0,2123.0,142.0,0.0,,,0.0,16.0,,0,0.06688648139425342,0.0,46.57,18.19,100,100,100.0,34.42,30.89,27,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
43918,0.39868046998219614,0.43356757147823854,0.39868046998219614,0.514744531005589,2019.0,657.0,2026-08-18 22:03:44,The Zenith Residence Hotel,136,11,2026-08-18 18:20:34,2026-08-19,34.11,Nakhonratchasima,KA,Lower Isan - Central,Mapped,Mapped,2233018.0,653.0,2069.5,2019.0,0.0,0.1603421283308916,0.16258173633592354,2.0,9.0,,0,0.9755979705242812,0.0,34.49,21.99,100,100,100.0,30.66,30.71,28,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
23788,0.43056431245134674,0.4916098557207121,0.43056431245134674,0.5131254355000331,3207.0,858.0,2026-08-18 23:48:42,Marsi Hotel,67,5,2026-08-18 14:36:30,2026-08-25,32.69,Bangkok,KA,BKK - Metro - Chon,Mapped,Mapped,2128556.0,813.0,3599.5,3207.0,0.0,,,0.0,8.0,,0,0.8909570773718573,0.0,32.87,27.38,100,100,100.0,31.19,30.53,29,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
2000105,0.42510309710574634,0.46220765265081687,0.42510309710574634,0.5051734529795806,4381.0,633.0,2026-08-18 18:04:18,Aspira One Sutthisan Hotel,64,7,2026-08-18 17:34:59,2026-09-02,32.87,Bangkok,KA,BKK - Metro - Chon,Mapped,Mapped,1949731.0,922.0,3599.5,4381.0,0.0,,,0.0,0.0,,0,1.2171134879844423,0.0,30.11,31.05,100,100,100.0,30.94,30.38,30,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
4885023,0.39118774439360393,0.43119553114043796,0.39118774439360393,0.5093505132061112,1767.0,804.0,2026-08-18 23:19:38,Conbrio Resort & Sport Club,71,11,2026-08-18 19:05:06,2026-08-20,30.37,Saraburi,KA,Lower Isan - Central,Mapped,Mapped,3048789.0,255.0,1043.0,1767.0,0.0,,,0.0,40.0,,0,1.6941514860977949,0.0,47.09,8.59,100,100,100.0,32.2,30.3,31,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
43588,0.43246900690819695,0.4668341383306753,0.43246900690819695,0.5153294648300629,461.0,153.0,2026-08-18 20:32:59,TM Land Hotel,54,7,2026-08-18 20:04:15,2026-08-29,30.52,Phra Nakhon Si Ayutthaya,KA,Lower Isan - Central,Mapped,Mapped,1646315.0,1296.0,1688.5,461.0,0.0,,,0.0,10.0,,0,0.2730233935445662,0.0,25.43,43.65,100,100,100.0,31.91,30.27,32,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
43726,0.46400707969278243,0.46969394375348156,0.46400707969278243,0.5144639177128859,9020.0,2137.0,2026-08-18 14:05:44,The Narathiwas Hotel & Residence Sathorn Bangkok,81,1,2026-08-18 00:32:16,2026-08-28,38.23,Bangkok,KA,BKK - Metro - Chon,Mapped,Not Live,1267830.0,379.0,2861.0,9020.0,0.0,,,0.0,6.0,,0,3.152743795875568,0.0,19.58,12.77,100,40,70.0,21.27,30.25,33,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
296,0.4343767299832298,0.4744888407609409,0.4343767299832298,0.5151820598948624,10068.0,1485.0,2026-08-18 20:32:59,Novotel Bangkok Bangna,149,19,2026-08-18 19:05:06,2026-08-25,41.01,Bangkok,LT,BKK - Metro - Chon,Unknown,Not Live,68009.0,0.0,3998.5,10068.0,0.0,,,0.0,0.0,,0,2.517944229085907,0.0,1.05,0.0,0,40,20.0,8.73,29.82,34,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
2009458,0.4373834789875788,0.48009613612300656,0.4373834789875788,0.5038091225253204,25134.0,2812.0,2026-08-18 23:48:42,Prince Palace Hotel Bangkok,159,39,2026-08-18 23:48:42,2026-09-02,50.44,Bangkok,LT,BKK - Metro - Chon,Mapped,Not Live,164490.0,101.0,3382.0,25134.0,0.0,,,0.0,124.0,,0,7.431697220579538,0.0,2.54,3.4,100,40,70.0,12.38,29.36,35,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
2010534,0.43166199691237067,0.4533637842948224,0.43166199691237067,0.5100261213256462,524.0,315.0,2026-08-18 14:05:44,Romance Hotel Sukhumvit 97,21,2,2026-08-18 12:36:04,2026-08-20,28.81,Bangkok,KA,BKK - Metro - Chon,Mapped,Mapped,1669740.0,1241.0,3998.5,524.0,0.0,-0.0197242050085545,-0.011613508098993,2.0,3.0,,0,0.1310491434287858,0.0,25.79,41.8,100,100,100.0,31.2,29.34,36,Critical,Fix Internal Rate Parity,Our rate is more expensive than a comparable partner rate.
63463,0.3887471843491886,0.4053359228741523,0.3887471843491886,0.5113928359128238,313.0,124.0,2026-08-18 15:51:26,River Hotel Nakhon Pathom,55,10,2026-08-18 15:51:26,2026-08-18,28.66,Nakhon Pathom,KA,BKK - Metro - Chon,Mapped,Mapped,2464751.0,642.0,1272.5,313.0,0.0,0.0748398444659145,0.0829638666308838,4.0,46.0,,0,0.24597249508840865,0.0,38.07,21.62,100,100,100.0,31.25,29.34,37,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
5101649,0.39507299638336857,0.4257285431909452,0.39507299638336857,0.5132530241894021,386.0,214.0,2026-08-18 19:20:48,Moose EASY Hotel,24,2,2026-08-18 10:34:59,2026-08-20,27.47,Chiang Mai,KA,North,Mapped,Unknown,1298624.0,602.0,2123.0,386.0,0.0,,,0.0,12.0,,0,0.18181818181818182,0.0,20.06,20.28,100,0,50.0,21.61,29.18,38,Critical,Investigate Booking Conversion,"Demand exists, but no booking is matched to the current check-in demand."
