ProductID,Current_Hotness,Peak_Hotness,Avg_Hotness,Current_Trend,Current_Views,Peak_CheckIn_Views,Latest_Snapshot,ProductName,Active_View_Intervals,Modification_Count,Last_Modified_At,Peak_CheckIn_Date,Demand_Score
181542,0.3903109558421911,0.4220066255057828,0.3903109558421911,0.5113606679283877,109.0,65.0,2026-08-17 18:36:16,Satun Boutique Resort,13,0,,2026-08-20,26.68
181551,0.3893423644794132,0.4424948716343416,0.3893423644794132,0.5095625642897569,1664.0,506.0,2026-08-17 21:18:14,Charisma Residence,70,3,2026-08-17 20:48:25,2026-08-19,30.35
181552,0.31081079185846394,0.31081079185846394,0.31081079185846394,0.5162051817486629,4.0,4.0,2026-08-17 14:53:50,Phectlada Pavilion & Resort,4,0,,2026-08-17,23.01
181556,0.3840091603093158,0.4054930033511133,0.3840091603093158,0.5097793127737963,351.0,281.0,2026-08-17 14:53:50,Sunee Boutique Hotel,19,2,2026-08-17 13:07:27,2026-08-17,26.79
181562,0.34182855049379246,0.34182855049379246,0.34182855049379246,0.5122702140604644,66.0,66.0,2026-08-17 19:23:15,On Green Resort Phetchaburi,17,0,,2026-08-17,25.01
181563,0.3342975826861526,0.39062189306854195,0.3342975826861526,0.5157745060867908,170.0,37.0,2026-08-17 22:02:24,L Nimman Boutique Hotel,74,1,2026-08-17 11:06:49,2026-09-12,28.43
181569,0.33242727256820065,0.33242727256820065,0.33242727256820065,0.5059403176714462,14.0,14.0,2026-08-17 14:53:50,Prakai Resort Photharam,3,0,,2026-08-17,23.61
181573,0.3959267834119501,0.3959267834119501,0.3959267834119501,0.5355228049838698,9.0,8.0,2026-08-17 22:34:52,The Siri Place Udonthani,9,0,,2026-08-18,27.12
181581,0.42418111826865423,0.4543338781921683,0.42418111826865423,0.5142309689510444,1222.0,300.0,2026-08-17 23:49:11,Namthong Nan Hotel,101,11,2026-08-17 21:03:00,2026-08-17,33.79
181593,0.3756623035804152,0.4123297182559519,0.3756623035804152,0.5091038686809224,205.0,173.0,2026-08-17 21:32:42,Fortune D Loei,25,4,2026-08-17 20:48:25,2026-08-17,26.82
181597,0.4426289528389497,0.4426289528389497,0.4426289528389497,0.5137146076007391,164.0,164.0,2026-08-17 10:04:37,P.A. Place Hotel Nakhonsawan,8,1,2026-08-17 08:15:34,2026-08-17,28.5
181598,0.39809691965745375,0.4353066904469598,0.39809691965745375,0.5076526437015633,141.0,84.0,2026-08-17 19:33:58,Journey Hostel Suratthani,14,2,2026-08-17 18:07:58,2026-08-17,26.98
181599,0.4378869716552054,0.4378869716552054,0.4378869716552054,0.5194392025262972,32.0,32.0,2026-08-17 13:07:27,Tamarind Place Phetchabun,8,1,2026-08-17 11:20:43,2026-08-22,28.42
181609,0.40360233135696766,0.4813807886954941,0.40360233135696766,0.5108935593227478,904.0,416.0,2026-08-17 23:49:11,Green Hotel & Resort Khon Kaen,58,5,2026-08-17 22:02:24,2026-08-17,30.13
181618,0.3274683307164003,0.3357404455768154,0.3274683307164003,0.5054888124095939,62.0,38.0,2026-08-17 20:19:27,Chalermpan Resort Omkoi,22,0,,2026-08-17,24.62
181621,0.28109970769195036,0.28109970769195036,0.28109970769195036,0.506835788029095,5.0,5.0,2026-08-17 23:49:11,Phavina Serviced Residence Rayong,5,0,,2026-09-07,21.7
181622,0.3247198380491924,0.3360373641323425,0.3247198380491924,0.521365155265042,88.0,24.0,2026-08-17 13:37:39,Viva Hotel Songkhla,35,0,,2026-08-21,25.66
181623,0.4085455182361175,0.4092636559446746,0.4085455182361175,0.5194832629375404,717.0,364.0,2026-08-17 14:37:20,Rio Monte Residence,14,3,2026-08-17 13:52:19,2026-08-20,27.68
181629,0.40517878350726794,0.40517878350726794,0.40517878350726794,0.5127538906549409,49.0,49.0,2026-08-17 12:38:18,Sakura Budget Hotel,8,4,2026-08-17 12:38:18,2026-08-28,26.98
181632,,,,,0.0,0.0,2026-08-17 22:34:52,The Museum Hotel Nakhon Pathom,0,0,,2026-08-21,0.0
181635,0.4154068352081306,0.4154068352081306,0.4154068352081306,0.5088423655266777,103.0,103.0,2026-08-17 19:33:58,Blue Rabbit Hotel Chanthaburi,8,2,2026-08-17 19:33:58,2026-08-18,27.31
181639,0.375793578863769,0.38997158037829605,0.375793578863769,0.5167242915381448,156.0,71.0,2026-08-17 18:36:16,Phurinda Residence Saraburi,52,10,2026-08-17 18:36:16,2026-08-18,28.7
181641,0.3536521660483736,0.4198200524856767,0.3536521660483736,0.50587583726436,257.0,174.0,2026-08-17 20:19:27,Rueanchorfa Hotel,27,2,2026-08-17 19:33:58,2026-08-17,26.01
181648,0.3976927879806664,0.4008001840964454,0.3976927879806664,0.5098573361745892,808.0,491.0,2026-08-17 18:36:16,Sp & K Apartment,22,3,2026-08-17 18:20:09,2026-08-17,27.57
181657,0.3424022523544815,0.3424022523544815,0.3424022523544815,0.506675611708559,32.0,16.0,2026-08-17 12:52:22,Civilize Hotel Udon,16,0,,2026-09-03,24.85
182808,0.38372676744442746,0.398933400304531,0.38372676744442746,0.5105758242177081,256.0,46.0,2026-08-17 20:19:27,Ibiz Boutique Hotel,70,6,2026-08-17 20:19:27,2026-08-26,30.05
182814,0.44330158161572075,0.5228678657732759,0.44330158161572075,0.509762495679068,84.0,68.0,2026-08-17 14:53:50,Tho Mai Resort,3,0,,2026-08-21,28.12
182820,0.36185156248807004,0.3675554001789463,0.36185156248807004,0.5082695177026673,74.0,58.0,2026-08-17 22:02:24,S.22 Hotel Suratthani,11,1,2026-08-17 21:03:00,2026-08-21,25.35
182822,0.38449215250313157,0.42432467730046075,0.38449215250313157,0.5165940895925776,298.0,37.0,2026-08-17 21:03:00,Baan Im Oon,129,18,2026-08-17 21:03:00,2026-08-18,33.98
182835,0.340579188565069,0.3992260312200883,0.340579188565069,0.5076672618473603,512.0,90.0,2026-08-17 20:34:23,Nadee 10 Resort & Hotel,60,4,2026-08-17 20:19:27,2026-09-09,27.65
182837,0.45795545315830255,0.5222699632403647,0.45795545315830255,0.5134640356286464,3775.0,723.0,2026-08-17 23:33:38,The Riche Boutique Hotel,52,0,,2026-08-22,32.18
182839,0.30296369058117323,0.3120835439366684,0.30296369058117323,0.5081401483480402,106.0,30.0,2026-08-17 14:53:50,Li Resort Lamphun,53,0,,2026-08-21,25.68
182851,0.30636025276395,0.31848661914788856,0.30636025276395,0.5080589533898747,238.0,160.0,2026-08-17 23:49:11,Khong Chiam 2 Hotel Ubon,39,0,,2026-08-17,24.92
182863,0.3897432339932593,0.4101772761558567,0.3897432339932593,0.5095045282798093,2412.0,474.0,2026-08-17 23:49:11,The Journey Hotel Laksi,81,4,2026-08-17 13:52:19,2026-09-03,31.12
182866,0.4029576799302812,0.4116996512236049,0.4029576799302812,0.5142661122888232,43.0,27.0,2026-08-17 23:33:38,Ban P'Tor Resort,14,2,2026-08-17 18:20:09,2026-08-19,27.3
182869,0.29749146183413,0.298471632244046,0.29749146183413,0.5127211378001415,13.0,8.0,2026-08-17 23:49:11,Sabai at Chiangrai Hotel,13,0,,2026-09-03,22.99
182876,0.2903863797214886,0.29089127772969126,0.2903863797214886,0.5063042284862929,4.0,2.0,2026-08-17 17:36:48,Ploencheewa Resort,4,0,,2026-08-21,22.0
182877,0.28805668653192945,0.28815053666029994,0.28805668653192945,0.5043709864129496,21.0,16.0,2026-08-17 22:34:52,VJP Hotel Ubon,13,0,,2026-08-17,22.44
182886,0.34083607820914347,0.39103651221614155,0.34083607820914347,0.519416182290358,74.0,62.0,2026-08-17 23:49:11,Je T'aime Trang,17,3,2026-08-17 19:33:58,2026-08-17,25.11
182890,0.4233632050573482,0.4233632050573482,0.4233632050573482,0.5146885176399412,102.0,102.0,2026-08-17 11:06:49,The Lephant Hotel,8,1,2026-08-17 09:17:22,2026-08-17,27.75
182898,0.2754433513045164,0.2754433513045164,0.2754433513045164,0.5087093262736422,5.0,5.0,2026-08-17 14:53:50,The View Point Hotel Phitsanulok,5,0,,2026-09-15,21.51
182900,0.35352405834862416,0.366182803103913,0.35352405834862416,0.5092919676627354,71.0,39.0,2026-08-17 01:59:55,Alinda Resort,12,0,,2026-08-20,25.1
182901,0.3162319009898155,0.33721549449243465,0.3162319009898155,0.5103600385688181,306.0,159.0,2026-08-17 14:53:50,Two Fo House Kanchanaburi,36,2,2026-08-17 14:37:20,2026-08-18,25.18
182907,0.36636765814012257,0.3815543939040482,0.36636765814012257,0.5165214989047117,64.0,32.0,2026-08-17 13:37:39,Tree House Hotel Srisaket,18,0,,2026-08-18,26.14
182908,0.44523990329952523,0.4709802953020533,0.44523990329952523,0.5069413888565277,8345.0,740.0,2026-08-17 23:03:15,Synsiri Resort,136,17,2026-08-17 13:22:31,2026-08-28,37.22
182910,0.3536747521196331,0.359015806812303,0.3536747521196331,0.5065063650000771,57.0,24.0,2026-08-17 14:53:50,Homey Dormy Chiangrai,9,0,,2026-08-19,24.86
182914,0.32738917061267125,0.3613797006759402,0.32738917061267125,0.5090699583539543,263.0,112.0,2026-08-17 23:33:38,Farisa Garden Hotel Kalasin,59,0,,2026-08-17,27.07
182917,0.3984267585515547,0.4175393978670232,0.3984267585515547,0.5173570569300839,1204.0,453.0,2026-08-17 12:22:25,Studio Residence Sukhumvit 71,23,3,2026-08-17 11:20:43,2026-08-20,27.84
182932,0.28144556476522753,0.2820897976377953,0.28144556476522753,0.5084453753382762,16.0,8.0,2026-08-17 12:52:22,LandMark Hotel Mahasarakham,16,0,,2026-08-18,22.45
182938,0.35290379177138403,0.360951639703665,0.35290379177138403,0.5047986880373845,151.0,72.0,2026-08-17 14:53:50,Sirin Boutique Nakhonratchasima,15,0,,2026-08-18,25.18
182944,0.3385512549820886,0.4538020934447044,0.3385512549820886,0.5149408609711458,164.0,128.0,2026-08-17 20:19:27,Socool Grand Hotel Nang Rong Buriram,50,2,2026-08-17 17:53:13,2026-08-17,27.05
182946,0.3321004641453311,0.3321004641453311,0.3321004641453311,0.5353483085446439,8.0,8.0,2026-08-17 11:20:43,Rimnaam Klangchan Hotel,8,0,,2026-08-17,24.5
182948,0.287216395193666,0.30705886889563433,0.287216395193666,0.5073825176173908,119.0,32.0,2026-08-17 23:33:38,Rabeangnum Resort Phichit,69,0,,2026-08-22,26.05
182950,0.32815898250836495,0.35116845502975635,0.32815898250836495,0.510496180667338,20.0,12.0,2026-08-17 13:22:31,The Color Ville Resort Sakonnakhon,11,0,,2026-08-20,24.04
182960,,,,,1.0,1.0,2026-08-17 14:53:50,The Linux Garden Yala,1,0,,2026-08-18,0.06
182961,0.34389698574472577,0.3958212639912405,0.34389698574472577,0.5146205770009548,197.0,131.0,2026-08-17 22:02:24,Irabbit Hotel Prachinburi,46,0,,2026-08-17,27.0
182982,0.45191085412295445,0.45191085412295445,0.45191085412295445,0.5066679313145507,738.0,738.0,2026-08-17 20:48:25,Panorama Hotel Buriram,7,0,,2026-08-18,28.71
182984,0.317273187161006,0.3405280407840455,0.317273187161006,0.5175157575841478,18.0,16.0,2026-08-17 17:36:48,Triple Trees Hotel Pathum Thani,6,0,,2026-08-17,23.43
182993,0.4094482136136585,0.4094482136136585,0.4094482136136585,0.5135618622724311,295.0,295.0,2026-08-17 14:53:50,Star Convention Hotel Rayong,11,2,2026-08-17 14:53:50,2026-09-05,27.37
182994,0.4029073901274898,0.4068011865708268,0.4029073901274898,0.5225648297236102,442.0,248.0,2026-08-17 23:49:11,Hoppers Place Donmueang Hostel,12,0,,2026-08-20,27.37
182999,0.33546202086284443,0.33546202086284443,0.33546202086284443,0.507201396011452,16.0,16.0,2026-08-17 13:37:39,The U-Time Hotel,16,2,2026-08-17 13:22:31,2026-08-17,24.59
183003,0.371585475111609,0.3738013938832374,0.371585475111609,0.5084107942748655,392.0,224.0,2026-08-17 20:34:23,Skyview Hotel & Resort Buriram,14,0,,2026-08-17,25.95
183010,0.38006267977985103,0.4749668058438744,0.38006267977985103,0.5186905102588742,243.0,67.0,2026-08-17 23:49:11,Bunprasop Garden Hotel,45,4,2026-08-17 22:48:21,2026-08-27,28.47
183011,0.3577166569924404,0.3867474550076683,0.3577166569924404,0.5191595347494922,75.0,52.0,2026-08-17 14:53:50,Sita Krabi Hotel,41,3,2026-08-17 14:37:20,2026-08-17,27.32
